FID,SLN,ELEM_DESC,MID_SLN,MIDDLE,HIGH_SLN,HIGH,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,matched_campus,zone_match_score,zone_match_method,Campus,school_students,percent_economically_disadvantaged,ses_score,academic_score,expected_academic_score,academic_residual,standardized_disparity,disparity_magnitude,pattern,matched_budget_org,budget_match_score,budget_match_method,budget_students,total_budget,budget_per_student,budget_normalized,ses_normalized,academic_normalized,disparity_normalized,budget_ses_score,budget_academic_score,budget_disparity_score,budget_per_student_display,total_budget_display,percent_ed_display,ses_score_display,academic_score_display,expected_academic_display,standardized_disparity_display,budget_ses_display,budget_academic_display,budget_disparity_display
11,172,Brashear Elementary School,100,"Holmes, Z",8,Kimball,,4443144.17328603,4443144.15234375,12683.242215074559,JIMMIE TYLER BRASHEAR EL,110.0,automatic,JIMMIE TYLER BRASHEAR EL,647,82.4,17.599999999999994,87.0,81.08952476374775,5.910475236252253,0.7536516011363463,0.7536516011363463,higher SES; academics higher than expected,J T BRASHEAR ELEMENTARY,80.0,fuzzy match,647.0,4274330.0,6606.383308,0.10005987405518271,0.18683651804670906,0.8292682926829268,0.21552019160379965,0.1434481960509459,0.46466408336905474,0.15779003282949117,6606.38,4274330.0,82.4,17.6,87.0,81.09,0.75,0.143,0.465,0.158
12,114,Bryan Elementary School,51,Lewis,13,Roosevelt,,3906488.6780575784,3906488.6640625,10178.528656598895,JOHN NEELY BRYAN EL,110.0,automatic,JOHN NEELY BRYAN EL,376,99.5,0.5,82.0,80.08354650038385,1.9164534996161535,0.24436922425968952,0.24436922425968952,lower SES; academics near expected,BRYAN ELEMENTARY,110.0,fuzzy match,376.0,3655450.0,9721.941489,0.23116634275420633,0.005307855626326964,0.7073170731707317,0.06984548811842275,0.11823709919026665,0.469241707962469,0.15050591543631453,9721.94,3655450.0,99.5,0.5,82.0,80.08,0.24,0.118,0.469,0.151
13,115,Budd Elementary School,51,Lewis,13,Roosevelt,,2081843.8880906927,2081843.87890625,8176.116884648207,HARRELL BUDD EL,110.0,automatic,HARRELL BUDD EL,454,95.4,4.599999999999994,77.0,80.32474596703835,-3.3247459670383535,-0.42394224174415,0.42394224174415,lower SES; academics near expected,HARRELL BUDD ELEMENTARY,100.0,exact normalized name,454.0,3351136.0,7381.356828,0.13267170013568308,0.04883227176220801,0.5853658536585366,0.12121040326913629,0.09075198594894554,0.3590187768971098,0.12694105170240969,7381.36,3351136.0,95.4,4.6,77.0,80.32,-0.42,0.091,0.359,0.127
14,117,Burleson Elementary School,45,Comstock,17,Spruce,,7763515.642953796,7763515.6328125,13572.82052388738,RUFUS C BURLESON EL,110.0,automatic,RUFUS C BURLESON EL,453,98.9,1.0999999999999943,86.0,80.11884398330889,5.881156016691108,0.7499130732036353,0.7499130732036353,lower SES; academics near expected,BURLESON ELEMENTARY,110.0,fuzzy match,453.0,4359751.0,9624.174393,0.22705218472317112,0.01167728237791926,0.8048780487804879,0.21445082621281664,0.1193647335505452,0.5159651167518295,0.22075150546799388,9624.17,4359751.0,98.9,1.1,86.0,80.12,0.75,0.119,0.516,0.221
15,304,Bush Elementary School,56,Walker,21,White,,18276871.105147086,18276871.140625,25335.189209164317,GEORGE HERBERT WALKER BUSH EL,110.0,automatic,GEORGE HERBERT WALKER BUSH EL,656,82.5,17.5,87.0,81.0836418499269,5.916358150073094,0.7544017383492103,0.7544017383492103,higher SES; academics higher than expected,GEORGE HERBERT WALKER BUSH ELEMENTARY SCHOOL,100.0,exact normalized name,656.0,5101189.0,7776.202744,0.14928729539007046,0.18577494692144372,0.8292682926829268,0.21573476022234775,0.16753112115575708,0.4892777940364986,0.1825110278062091,7776.2,5101189.0,82.5,17.5,87.0,81.08,0.75,0.168,0.489,0.183
16,118,Black STEAM Academy,72,Todd,16,SOC,,19999213.786066193,19999213.8671875,23385.10306336704,W W BUSHMAN EL,100.0,manual alias,W W BUSHMAN EL,340,97.9,2.0999999999999943,93.0,80.17767312151732,12.822326878482684,1.6349898774619707,1.6349898774619707,lower SES; academics higher than expected,,47.61904761904762,unmatched,,,,,0.022292993630573188,0.975609756097561,0.46761745218727946,,,,,,97.9,2.1,93.0,80.18,1.63,,,
17,119,Chapel Hill Elementary School,54,Marsh,21,White,,6154962.805479657,6154962.76953125,15881.125770994708,CHAPEL HILL PREPARATORY-A PERSONALIZED LRNING SCH,110.0,automatic,CHAPEL HILL PREPARATORY-A PERSONALIZED LRNING SCH,417,91.8,8.200000000000003,81.0,80.53653086458864,0.4634691354113585,0.059097490813874186,0.059097490813874186,higher SES; academics near expected,CHAPEL HILL PREPARATORY,110.0,fuzzy match,417.0,3144696.0,7541.23741,0.13939966902658554,0.08704883227176223,0.6829268292682927,0.01685051703879809,0.11322425064917388,0.4111632491474391,0.07812509303269181,7541.24,3144696.0,91.8,8.2,81.0,80.54,0.06,0.113,0.411,0.078
18,120,Caillet Elementary School,54,Marsh,21,White,,5630217.58159668,5630217.5625,11776.43427787788,F P CAILLET EL,110.0,automatic,F P CAILLET EL,582,96.6,3.4000000000000057,86.0,80.25415100118825,5.745848998811752,0.7326599173077617,0.7326599173077617,lower SES; academics near expected,CAILLET ELEMENTARY,110.0,fuzzy match,582.0,4407838.0,7573.604811,0.14076172853552182,0.036093418259023416,0.8048780487804879,0.20951574798621017,0.08842757339727261,0.47281988865800484,0.175138738260866,7573.6,4407838.0,96.6,3.4,86.0,80.25,0.73,0.088,0.473,0.175
19,247,Callejo Elementary School,353,Richards,25,Skyline,,4051048.374595448,4051048.359375,8229.13667461698,ADELFA BOTELLO CALLEJO EL,100.0,manual alias,ADELFA BOTELLO CALLEJO EL,521,95.2,4.799999999999997,86.0,80.33651179468004,5.663488205319965,0.722157996327664,0.722157996327664,lower SES; academics near expected,ADELFA CALLEJO ELEMENTARY SCHOOL,110.0,fuzzy match,521.0,4136097.0,7938.765835,0.15612814751467022,0.05095541401273882,0.8048780487804879,0.20651178732653647,0.10354178076370452,0.480503098147579,0.18131996742060336,7938.77,4136097.0,95.2,4.8,86.0,80.34,0.72,0.104,0.481,0.181
20,125,Casa View Elementary School,50,Hill,1,Adams,,4530825.204175241,4530825.1796875,10982.124232122078,CASA VIEW EL,110.0,automatic,CASA VIEW EL,614,93.5,6.5,84.0,80.43652132963435,3.5634786703656545,0.4543833275984094,0.4543833275984094,lower SES; academics near expected,CASA VIEW ELEMENTARY,100.0,exact normalized name,614.0,4317602.0,7031.925081,0.11796718821872185,0.06900212314225053,0.7560975609756098,0.12991774590837732,0.0934846556804862,0.4370323745971658,0.12394246706354958,7031.93,4317602.0,93.5,6.5,84.0,80.44,0.45,0.093,0.437,0.124
21,126,Central Elementary School,69,Seagoville,15,Seagoville,,11029614.704647483,11029614.71484375,15564.569372709313,CENTRAL EL,110.0,automatic,CENTRAL EL,528,85.2,14.799999999999997,90.0,80.92480317676419,9.075196823235814,1.1571889472623873,1.1571889472623873,higher SES; academics higher than expected,CENTRAL ELEMENTARY,100.0,exact normalized name,528.0,4253420.0,8055.719697,0.16104970794035658,0.1571125265392781,0.9024390243902439,0.33094767527740837,0.15908111723981733,0.5317443661653003,0.2459986916088825,8055.72,4253420.0,85.2,14.8,90.0,80.92,1.16,0.159,0.532,0.246
22,281,Chavez Learning Center,58,Spence,24,North Dallas,,6222832.8333483115,6222832.8203125,11547.173830873724,CESAR CHAVEZ LEARNING CENTER,110.0,automatic,CESAR CHAVEZ LEARNING CENTER,579,95.0,5.0,77.0,80.34827762232172,-3.348277622321717,-0.426942790595606,0.426942790595606,lower SES; academics near expected,CHAVEZ ELEMENTARY,110.0,fuzzy match,579.0,4362671.0,7534.837651,0.13913035940234816,0.053078556263269634,0.5853658536585366,0.12206867774332864,0.0961044578328089,0.36224810653044237,0.1305995185728384,7534.84,4362671.0,95.0,5.0,77.0,80.35,-0.43,0.096,0.362,0.131
23,278,Cigarroa Elementary School,79,Medrano,7,Jefferson,,1000301.4579049706,1000301.51171875,6212.4839642144825,LEONIDES GONZALEZ CIGARROA MD EL,110.0,automatic,LEONIDES GONZALEZ CIGARROA MD EL,576,96.5,3.5,82.0,80.26003391500909,1.739966084990911,0.22186510787376792,0.22186510787376792,lower SES; academics near expected,LEONIDES CIGARROA ELEMENTARY,110.0,fuzzy match,576.0,4631905.0,8041.501736,0.16045139888929202,0.037154989384288746,0.7073170731707317,0.0634084295619797,0.09880319413679038,0.43388423603001186,0.11192991422563586,8041.5,4631905.0,96.5,3.5,82.0,80.26,0.22,0.099,0.434,0.112
24,236,Cochran Elementary School,59,Stockard,5,Molina,,5074942.737336327,5074942.69921875,12195.257212467837,NANCY J COCHRAN EL,110.0,automatic,NANCY J COCHRAN EL,424,97.4,2.5999999999999943,82.0,80.20708769062152,1.7929123093784796,0.22861634278954387,0.22861634278954387,lower SES; academics near expected,COCHRAN ELEMENTARY,110.0,fuzzy match,424.0,3782389.0,8920.728774,0.19745033950926247,0.02760084925690015,0.7073170731707317,0.06533954712891248,0.11252559438308131,0.4523837063399971,0.13139494331908746,8920.73,3782389.0,97.4,2.6,82.0,80.21,0.23,0.113,0.452,0.131
25,129,Conner Elementary School,76,Lang,25,Skyline,,4029904.8892291686,4029904.85546875,8671.3945541529,S S CONNER EL,110.0,automatic,S S CONNER EL,619,98.2,1.7999999999999972,67.0,80.1600243800548,-13.160024380054793,-1.6780500803367808,1.6780500803367808,lower SES; academics lower than expected,CONNER ELEMENTARY,110.0,fuzzy match,619.0,4074513.0,6582.411955,0.09905113043391639,0.019108280254777038,0.34146341463414637,0.47993435646399535,0.059079705344346714,0.22025727253403138,0.28949274344895587,6582.41,4074513.0,98.2,1.8,67.0,80.16,-1.68,0.059,0.22,0.289
26,130,Cowart Elementary School,59,Stockard,5,Molina,,2377198.4553199196,2377198.453125,6469.658525550726,LEILA P COWART EL,110.0,automatic,LEILA P COWART EL,547,90.1,9.900000000000006,85.0,80.63654039954295,4.363459600457048,0.5563898304163143,0.5563898304163143,higher SES; academics near expected,COWART ELEMENTARY,110.0,fuzzy match,547.0,4420983.0,8082.235832,0.16216553907604114,0.10509554140127395,0.7804878048780488,0.15909560032916253,0.13363054023865756,0.471326671977045,0.16063056970260184,8082.24,4420983.0,90.1,9.9,85.0,80.64,0.56,0.134,0.471,0.161
27,276,Cuellar Sr Elementary School,352,Young Women's STEAM,17,Spruce,,6074477.596729498,6074477.58984375,12113.05761073412,GILBERT CUELLAR SR EL,110.0,automatic,GILBERT CUELLAR SR EL,630,99.2,0.7999999999999972,89.0,80.10119524184637,8.89880475815363,1.1346969890080747,1.1346969890080747,lower SES; academics higher than expected,CUELLAR ELEMENTARY,110.0,fuzzy match,630.0,5192060.0,8241.365079,0.1688618908784678,0.008492569002123113,0.8780487804878049,0.3245140944227227,0.08867722994029546,0.5234553356831364,0.24668799265059527,8241.37,5192060.0,99.2,0.8,89.0,80.1,1.13,0.089,0.523,0.247
28,260,De Zavala Elementary School,372,West Dallas,12,Pinkston,,2463548.9328184347,2463548.9453125,7078.104862826047,LORENZO DE ZAVALA EL,110.0,automatic,LORENZO DE ZAVALA EL,448,96.7,3.299999999999997,81.0,80.2482680873674,0.751731912632593,0.09585421424421346,0.09585421424421346,lower SES; academics near expected,,64.0,unmatched,,,,,0.03503184713375793,0.6829268292682927,0.02736437934765527,,,,,,96.7,3.3,81.0,80.25,0.1,,,
29,135,DeGolyer Elementary School,54,Marsh,21,White,,6065998.781856698,6065998.77734375,10968.542156907944,EVERETTE LEE DEGOLYER EL,110.0,automatic,EVERETTE LEE DEGOLYER EL,363,55.4,44.6,81.0,82.67791149537494,-1.6779114953749428,-0.2139524546686446,0.2139524546686446,higher SES; academics near expected,DEGOLYER ELEMENTARY,110.0,fuzzy match,363.0,3269582.0,9007.112948,0.2010854903704115,0.4734607218683652,0.6829268292682927,0.061145100882695515,0.3372731061193883,0.4420061598193521,0.13111529562655352,9007.11,3269582.0,55.4,44.6,81.0,82.68,-0.21,0.337,0.442,0.131
30,136,Donald Elementary School,100,"Holmes, Z",8,Kimball,,1518047.3702289702,1518047.35546875,6336.603599705334,L O DONALD EL,110.0,automatic,L O DONALD EL,335,92.2,7.799999999999997,82.0,80.51299920930528,1.4870007906947222,0.1896092077206126,0.1896092077206126,higher SES; academics near expected,DONALD ELEMENTARY,110.0,fuzzy match,335.0,3106504.0,9273.146269,0.21228049532499366,0.0828025477707006,0.7073170731707317,0.05418197896441103,0.14754152154784714,0.4597987842478627,0.13323123714470234,9273.15,3106504.0,92.2,7.8,82.0,80.51,0.19,0.148,0.46,0.133
31,137,Dorsey Elementary School,352,Young Women's STEAM,17,Spruce,,4591703.211967259,4591703.19140625,10593.95248121539,JULIUS DORSEY EL,110.0,automatic,JULIUS DORSEY EL,394,97.0,3.0,85.0,80.23061934590488,4.769380654095116,0.6081492981039353,0.6081492981039353,lower SES; academics near expected,JULIUS DORSEY LEADERSHIP ACADEMY,110.0,fuzzy match,394.0,3377652.0,8572.720812,0.18280574219273302,0.03184713375796178,0.7804878048780488,0.17390083500898193,0.1073264379753474,0.4816467735353909,0.17835328860085747,8572.72,3377652.0,97.0,3.0,85.0,80.23,0.61,0.107,0.482,0.178
32,266,Douglass Elementary School,45,Comstock,17,Spruce,,3519031.786075844,3519031.77734375,9381.372364663726,FREDERICK DOUGLASS EL,110.0,automatic,FREDERICK DOUGLASS EL,422,98.3,1.7000000000000028,59.0,80.15414146623395,-21.154141466233952,-2.6973892875661765,2.6973892875661765,lower SES; academics lower than expected,DOUGLASS ELEMENTARY,110.0,fuzzy match,422.0,3664044.0,8682.56872,0.18742827545167948,0.018046709129511708,0.14634146341463414,0.7715052874568121,0.10273749229059559,0.1668848694331568,0.4794667814542458,8682.57,3664044.0,98.3,1.7,59.0,80.15,-2.7,0.103,0.167,0.479
33,139,Dunbar Learning Center,62,Dade,32,Madison,,26342094.71258788,26342094.7265625,32565.905854259247,PAUL L DUNBAR LEARNING CENTER,110.0,automatic,PAUL L DUNBAR LEARNING CENTER,497,96.6,3.4000000000000057,76.0,80.25415100118825,-4.254151001188248,-0.5424517632450627,0.5424517632450627,lower SES; academics near expected,DUNBAR ELEMENTARY,110.0,fuzzy match,497.0,4754375.0,9566.146881,0.2246103166071765,0.036093418259023416,0.5609756097560976,0.15510876729797934,0.13035186743309995,0.39279296318163703,0.18985954195257793,9566.15,4754375.0,96.6,3.4,76.0,80.25,-0.54,0.13,0.393,0.19
34,142,Ervin Elementary School,354,West,380,Wilmer-Hutchins,,41662534.373644695,41662534.359375,39152.77822922519,J N ERVIN EL,110.0,automatic,J N ERVIN EL,629,98.3,1.7000000000000028,77.0,80.15414146623395,-3.154141466233952,-0.4021882625710924,0.4021882625710924,lower SES; academics near expected,ERVIN ELEMENTARY,110.0,fuzzy match,629.0,5386919.0,8564.259141,0.18244966480959562,0.018046709129511708,0.5853658536585366,0.11498791333124132,0.10024818696955366,0.38390775923406606,0.14871878907041847,8564.26,5386919.0,98.3,1.7,77.0,80.15,-0.4,0.1,0.384,0.149
35,145,Foster Elementary School,79,Medrano,7,Jefferson,,2130450.9580154605,2130450.97265625,6966.295288242637,STEPHEN C FOSTER EL,110.0,automatic,STEPHEN C FOSTER EL,673,97.6,2.4000000000000057,74.0,80.19532186297984,-6.195321862979839,-0.7899727272269877,0.7899727272269877,lower SES; academics lower than expected,FOSTER ELEMENTARY,110.0,fuzzy match,673.0,4690037.0,6968.851412,0.11531297169312099,0.025477707006369487,0.5121951219512195,0.2259094560153397,0.07039533934974523,0.31375404682217023,0.17061121385423034,6968.85,4690037.0,97.6,2.4,74.0,80.2,-0.79,0.07,0.314,0.171
36,280,Frank Elementary School,47,Franklin,6,Hillcrest,,7251188.348877536,7251188.37109375,12718.05767380161,ANNE FRANK EL,100.0,manual alias,ANNE FRANK EL,1139,84.5,15.5,83.0,80.96598357351007,2.034016426489927,0.25935981038536216,0.25935981038536216,higher SES; academics near expected,ANNE FRANK ELEMENTARY SCHOOL,100.0,exact normalized name,1139.0,7477205.0,6564.710272,0.0983062221339165,0.16454352441613587,0.7317073170731707,0.07413338278762756,0.1314248732750262,0.4150067696035436,0.08621980246077203,6564.71,7477205.0,84.5,15.5,83.0,80.97,0.26,0.131,0.415,0.086
37,147,Gill Elementary School,50,Hill,1,Adams,,3380680.2099451236,3380680.21484375,8713.01149291262,CHARLES A GILL EL,110.0,automatic,CHARLES A GILL EL,616,90.7,9.299999999999997,86.0,80.6012429166179,5.398757083382094,0.6884018217487807,0.6884018217487807,higher SES; academics near expected,GILL ELEMENTARY,110.0,fuzzy match,616.0,4507166.0,7316.827922,0.12995624547132636,0.09872611464968149,0.8048780487804879,0.19685619949187164,0.11434118006050392,0.4674171471259071,0.163406222481599,7316.83,4507166.0,90.7,9.3,86.0,80.6,0.69,0.114,0.467,0.163
38,234,Gonzalez Elementary School,45,Comstock,17,Spruce,,4818332.550277268,4818332.59765625,10959.933802132926,HENRY B GONZALEZ PERSONALIZED LEARNING ACADEMY,100.0,manual alias,HENRY B GONZALEZ PERSONALIZED LEARNING ACADEMY,585,90.3,9.700000000000003,82.0,80.62477457190127,1.3752254280987302,0.17535660067619493,0.17535660067619493,higher SES; academics near expected,HENRY B GONZALEZ PERSONALIZED LEARNING ACADEMY,100.0,exact normalized name,585.0,3960180.0,6769.538462,0.10692564090923633,0.10297239915074313,0.7073170731707317,0.05010517521199691,0.10494902002998974,0.407121357039984,0.07851540806061662,6769.54,3960180.0,90.3,9.7,82.0,80.62,0.18,0.105,0.407,0.079
39,148,Gooch Elementary School,54,Marsh,21,White,,4115146.743120376,4115146.74609375,8178.654271750495,TOM C GOOCH EL,110.0,automatic,TOM C GOOCH EL,369,91.3,8.700000000000003,81.0,80.56594543369285,0.4340545663071538,0.055346804749554224,0.055346804749554224,higher SES; academics near expected,GOOCH ELEMENTARY,110.0,fuzzy match,369.0,3004798.0,8143.084011,0.16472610428201506,0.0923566878980892,0.6829268292682927,0.015777673946057665,0.12854139609005213,0.4238264667751539,0.09025188911403637,8143.08,3004798.0,91.3,8.7,81.0,80.57,0.06,0.129,0.424,0.09
40,149,Hall Elementary School,100,"Holmes, Z",8,Kimball,,1592122.982598708,1592122.9921875,5538.778136103418,HALL PERSONALIZED LEARNING ACADEMY AT OAK CLIFF,110.0,automatic,HALL PERSONALIZED LEARNING ACADEMY AT OAK CLIFF,431,97.0,3.0,79.0,80.23061934590488,-1.2306193459048842,-0.15691771022775944,0.15691771022775944,lower SES; academics near expected,HALL PERSONALIZED LEARNING ACADEMY AT OAK CLIFF,100.0,exact normalized name,431.0,3509492.0,8142.672854,0.164708802296554,0.03184713375796178,0.6341463414634146,0.04483093046952522,0.09827796802725788,0.39942757187998434,0.1047698663830396,8142.67,3509492.0,97.0,3.0,79.0,80.23,-0.16,0.098,0.399,0.105
41,305,Halliday Elementary School,69,Seagoville,15,Seagoville,,39634251.79654735,39634251.76953125,30696.518586424394,EBBY HALLIDAY EL,110.0,automatic,EBBY HALLIDAY EL,602,88.9,11.099999999999994,82.0,80.70713536539304,1.292864634606957,0.16485467969609902,0.16485467969609902,higher SES; academics near expected,EBBY HALLIDAY ELEMENTARY SCHOOL,100.0,exact normalized name,602.0,4890740.0,8124.152824,0.16392945696180541,0.11783439490445853,0.7073170731707317,0.04710121455232372,0.14088192593313198,0.43562326506626853,0.10551533575706457,8124.15,4890740.0,88.9,11.1,82.0,80.71,0.16,0.141,0.436,0.106
42,156,Hawthorne Elementary School,52,Piedmont,14,Samuell,,1499307.0855444558,1499307.07421875,6328.067365724384,NATHANIEL HAWTHORNE EL,110.0,automatic,NATHANIEL HAWTHORNE EL,392,92.3,7.700000000000003,88.0,80.50711629548444,7.492883704515563,0.9554263532651712,0.9554263532651712,higher SES; academics higher than expected,HAWTHORNE ELEMENTARY,110.0,fuzzy match,392.0,3692897.0,9420.655612,0.21848786746741844,0.08174097664543527,0.8536585365853658,0.27323567229148266,0.15011442205642686,0.5360732020263921,0.24586176987945055,9420.66,3692897.0,92.3,7.7,88.0,80.51,0.96,0.15,0.536,0.246
43,152,Henderson Elementary School,100,"Holmes, Z",8,Kimball,,2296501.8589045717,2296501.86328125,6093.304147701968,MARGARET B HENDERSON EL,110.0,automatic,MARGARET B HENDERSON EL,360,90.0,10.0,92.0,80.64242331336379,11.357576686636207,1.4482178695904273,1.4482178695904273,higher SES; academics higher than expected,HENDERSON ELEMENTARY,110.0,fuzzy match,360.0,3021602.0,8393.338889,0.17525713320947167,0.10615711252653927,0.9512195121951219,0.4141933438705586,0.14070712286800546,0.5632383227022968,0.29472523854001514,8393.34,3021602.0,90.0,10.0,92.0,80.64,1.45,0.141,0.563,0.295
