District,Campus,Region,County,Type,grades_served,Charter,Students,perc_ed,perc_eb_el,overall_score,student_ach_score,school_prog_score,academic_growth_score,relative_perf_score,closing_gap_score,Grant,enroll_type
DALLAS ISD,MARIA MORENO STEAM ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,338,94.4%,55.9%,86,74,83,80,83,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,PLEASANT GROVE EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,450,96.4%,60.4%,84,73,82,70,82,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,MARY MCLEOD BETHUNE EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,575,89.6%,55.1%,88,77,92,92,86,89,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,LOUISE WOLFF KAHN EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,571,93.2%,62.7%,84,74,83,77,83,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,GILBERT CUELLAR SR EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,630,99.2%,63.5%,89,75,91,91,85,86,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,THOMAS TOLBERT EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,368,96.7%,45.9%,77,71,79,65,79,67,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,LEONIDES GONZALEZ CIGARROA MD EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 06,No,576,96.5%,88.7%,82,72,80,80,80,79,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JERRY R JUNKINS EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,571,79.5%,37.0%,85,77,89,89,85,89,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ANNE FRANK EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,"1,139",84.5%,55.5%,83,75,85,85,83,87,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,CESAR CHAVEZ LEARNING CENTER,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,579,95.0%,33.2%,77,69,80,80,76,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ESPERANZA MEDRANO EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,345,90.1%,60.3%,74,60,72,72,67,71,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,PERSONALIZED LEARNING ACADEMY AT HIGHLAND MEADOWS,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,711,84.2%,57.5%,59,50,59,59,52,60,Yes,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,N W HARLLEE EARLY CHILDHOOD CENTER,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 02,No,181,83.4%,15.5%,86,        .,        .,        .,        .,        .,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,LEE A MCSHAN JR EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,534,97.0%,75.8%,84,72,89,89,81,75,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,CELESTINO MAURICIO SOTO JR EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,476,93.1%,58.8%,81,71,80,80,79,82,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,FELIX G BOTELLO PERSONALIZED LEARNING EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,545,94.7%,69.0%,92,80,97,97,90,88,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ARLINGTON PARK EARLY CHILDHOOD CENTER,REGION 10: RICHARDSON,DALLAS,Elementary,PK - PK,No,83,84.3%,39.8%,86,        .,        .,        .,        .,        .,,SELECTIVE ENROL SCHL-CRITERIA-BASED
